idx,source,outcome,steps,bfs_len,gap,final_bfs_dist,wall_hits,score_sum,score_avg,score_bfsnorm,badness,repeat_count,quality_key
0,bfs_success,success,14,14,0,0,0,-2.003262460231781,-0.1430901757308415,-0.1430901757308415,0.0,0,"[2, 0, 0, 0, 0, 0]"
1,clean_success,success,14,14,0,0,0,-2.003262460231781,-0.1430901757308415,-0.1430901757308415,0.0,0,"[2, 0, 0, 0, 0, 0]"
2,short_detour_success,success,16,14,2,0,0,-8.970296248793602,-0.5606435155496001,-0.6407354463424001,0.02,0,"[2, 0, 0, -400, 0, -8]"
3,long_detour_success,success,20,14,6,0,0,-18.091554552316666,-0.9045777276158333,-1.2922538965940475,0.06390625,1,"[2, 0, 0, -1200, 0, -31]"
4,recovery_success,success,16,14,2,0,0,-4.608468115329742,-0.2880292572081089,-0.32917629395212444,0.02,0,"[2, 0, 0, -400, 0, -8]"
5,wall_recovery_success,success,14,14,0,0,0,-2.003262460231781,-0.1430901757308415,-0.1430901757308415,0.0,0,"[2, 0, 0, 0, 0, 0]"
6,near_clean_timeout,timeout,64,14,64,8,0,-55.54930677264929,-0.8679579183226451,-3.967807626617806,1.5083705357142856,57,"[1, 0, -2, -5714, 0, -2214]"
7,far_clean_timeout,timeout,64,14,64,14,0,-63.97509956359863,-0.9996109306812286,-4.5696499688284735,2.25390625,193,"[1, 0, -2, -10000, 0, -7540]"
8,safe_loop_timeout,timeout,64,14,64,14,0,-64.0,-1.0,-4.571428571428571,2.33984375,215,"[1, 0, -2, -10000, 0, -8412]"
9,far_clean_timeout,timeout,64,14,64,14,0,-60.000184655189514,-0.9375028852373362,-4.285727475370679,2.25390625,193,"[1, 0, -2, -10000, 0, -7540]"
10,wall_timeout,timeout,64,14,64,10,6,-63.987331211566925,-0.9998020501807332,-4.5705236579690665,2.544642857142857,24,"[1, -1, -1, -7143, -938, -939]"
11,sticky_wall_timeout,timeout,64,14,64,14,64,-64.0,-1.0,-4.571428571428571,4.4296875,238,"[1, -1, -2, -10000, -10000, -9284]"
12,bfs_success,success,14,14,0,0,0,-0.0003628730773925781,-2.5919505528041293e-05,-2.5919505528041293e-05,0.0,0,"[2, 0, 0, 0, 0, 0]"
13,clean_success,success,14,14,0,0,0,-0.0003628730773925781,-2.5919505528041293e-05,-2.5919505528041293e-05,0.0,0,"[2, 0, 0, 0, 0, 0]"
14,short_detour_success,success,16,14,2,0,0,-3.0326307490468025,-0.18953942181542516,-0.2166164820747716,0.02,0,"[2, 0, 0, -400, 0, -8]"
15,long_detour_success,success,20,14,6,0,0,-10.717083067633212,-0.5358541533816605,-0.7655059334023723,0.0678125,2,"[2, 0, 0, -1200, 0, -66]"
