idx,source,outcome,steps,bfs_len,gap,final_bfs_dist,wall_hits,score_sum,score_avg,score_bfsnorm,badness,repeat_count,quality_key
0,bfs_success,success,14,14,0,0,0,-0.0033355355262756348,-0.00023825253759111677,-0.00023825253759111677,0.0,0,"[2, 0, 0, 0, 0, 0]"
1,clean_success,success,14,14,0,0,0,-0.0033355355262756348,-0.00023825253759111677,-0.00023825253759111677,0.0,0,"[2, 0, 0, 0, 0, 0]"
2,short_detour_success,success,16,14,2,0,0,-2.835855722427368,-0.1772409826517105,-0.20256112303052629,0.02,0,"[2, 0, 0, -400, 0, -8]"
3,long_detour_success,success,20,14,6,0,0,-12.364933371543884,-0.6182466685771942,-0.8832095265388489,0.06390625,1,"[2, 0, 0, -1200, 0, -50]"
4,recovery_success,success,16,14,2,0,0,-2.2403655648231506,-0.14002284780144691,-0.16002611177308218,0.02,0,"[2, 0, 0, -400, 0, -8]"
5,wall_recovery_success,success,16,14,2,0,2,-16.0,-1.0,-1.1428571428571428,1.05125,0,"[2, -1, 0, -400, -312, -14]"
6,near_clean_timeout,timeout,64,14,64,4,0,-40.45783659815788,-0.6321536968462169,-2.8898454712969914,1.2170758928571428,19,"[1, 0, -1, -2857, 0, -740]"
7,far_clean_timeout,timeout,64,14,64,14,0,-62.00001537799835,-0.9687502402812243,-4.428572526999882,2.25390625,193,"[1, 0, -2, -10000, 0, -7540]"
8,safe_loop_timeout,timeout,64,14,64,14,0,-64.0,-1.0,-4.571428571428571,2.33984375,215,"[1, 0, -2, -10000, 0, -8412]"
9,far_clean_timeout,timeout,64,14,64,14,0,-59.99999362230301,-0.9374999003484845,-4.285713830164501,2.25390625,193,"[1, 0, -2, -10000, 0, -7540]"
10,wall_timeout,timeout,64,14,64,13,7,-64.0,-1.0,-4.571428571428571,2.8002232142857144,58,"[1, -1, -2, -9286, -1094, -2251]"
11,sticky_wall_timeout,timeout,64,14,64,8,58,-64.0,-1.0,-4.571428571428571,4.027901785714286,214,"[1, -1, -2, -5714, -9062, -8347]"
12,bfs_success,success,14,14,0,0,0,-1.892652690410614,-0.13518947788647243,-0.13518947788647243,0.0,0,"[2, 0, 0, 0, 0, 0]"
13,clean_success,success,14,14,0,0,0,-1.892652690410614,-0.13518947788647243,-0.13518947788647243,0.0,0,"[2, 0, 0, 0, 0, 0]"
