sample_id,bin_key,cycle_bin,bfs_bin,choice_bin,endpoint_bin,target_status,target_quota,target_count_final,quota_scope_member_handdraw,quota_scope_member_exploration,is_critical_long_bin,bfs_len,rect_room_compressed_cycle_rank,rect_room_macro_choice_count,rect_room_macro_endpoint_count,free_ratio,reachable_free_ratio,origin_generator,origin_seed_id,route_id,from_sfg,from_rbr,accepted_as_commit,lineage_id,grid_hash,grid_start_goal_hash,start_r,start_c,goal_r,goal_c,ascii_grid,json_grid,visualization_path
item_001663_trial_001678_00_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,22,2,6,7,0.578125,1.0,sfg_generator,seed001663_sfg_generator,single_loop_long_high_choice_high_endpoint,True,True,True,seed001663_sfg_generator,a04acce79982d9b1,9d3d0e13e3ea3f4b,4,7,5,6,"##.....#
###...##
##.....#
#..#....
..#..##S
.#.##.G#
...#..##
.#...###","[[1,1,0,0,0,0,0,1],[1,1,1,0,0,0,1,1],[1,1,0,0,0,0,0,1],[1,0,0,1,0,0,0,0],[0,0,1,0,0,1,1,0],[0,1,0,1,1,0,0,1],[0,0,0,1,0,0,1,1],[0,1,0,0,0,1,1,1]]",sample_visualizations\by_bin\multi_loop_long_high_choice_high_endpoint\accepted_000.png
item_001743_trial_049251_02_stage_clo,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,22,2,7,8,0.671875,1.0,sfg_generator,seed001743_sfg_generator,generic_single_loop_long,True,True,True,seed001743_sfg_generator,4a97cfec4bc99221,0335a43d1163e5f4,1,3,0,0,"G#.....#
.##S#...
...##.#.
...##.#.
.#.##...
....#..#
.#.#....
#....#.#","[[0,1,0,0,0,0,0,1],[0,1,1,0,1,0,0,0],[0,0,0,1,1,0,1,0],[0,0,0,1,1,0,1,0],[0,1,0,1,1,0,0,0],[0,0,0,0,1,0,0,1],[0,1,0,1,0,0,0,0],[1,0,0,0,0,1,0,1]]",
item_001831_trial_093792_02_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,21,2,10,8,0.703125,1.0,random_wall_generator,seed001831_random_wall_generator,generic_multi_loop_long,False,True,True,seed001831_random_wall_generator,60d1d288bc48f978,6c53be80e8b45ce0,5,5,7,4,"...#..#.
.#...#..
.#.#.#..
..#.....
.#.##.#.
...##S..
.#...##.
...#G..#","[[0,0,0,1,0,0,1,0],[0,1,0,0,0,1,0,0],[0,1,0,1,0,1,0,0],[0,0,1,0,0,0,0,0],[0,1,0,1,1,0,1,0],[0,0,0,1,1,0,0,0],[0,1,0,0,0,1,1,0],[0,0,0,1,0,0,0,1]]",
item_002093_trial_010877_02_pure_tbi,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,24,2,8,7,0.5625,1.0,sfg_generator,seed002093_sfg_generator,generic_multi_loop_long,True,True,True,seed002093_sfg_generator,cc5f3d4a6ceab8a3,9b41bb140925642f,6,5,7,4,"......##
#.#.#..#
#..###..
..#####.
#.#####.
...###..
....#S.#
#...G#..","[[0,0,0,0,0,0,1,1],[1,0,1,0,1,0,0,1],[1,0,0,1,1,1,0,0],[0,0,1,1,1,1,1,0],[1,0,1,1,1,1,1,0],[0,0,0,1,1,1,0,0],[0,0,0,0,1,0,0,1],[1,0,0,0,0,1,0,0]]",
item_002472_trial_047890_03_stage_clo,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,22,2,6,7,0.765625,1.0,dfs_tree_generator,seed002472_dfs_tree_generator,generic_multi_loop_medium,False,True,True,seed002472_dfs_tree_generator,719b08270832bd9b,4e720f25ac1d44c2,0,0,1,5,"S.#.....
.#...G.#
..#.....
..#...#.
.#....#.
.##.##..
...#.#..
.#......","[[0,0,1,0,0,0,0,0],[0,1,0,0,0,0,0,1],[0,0,1,0,0,0,0,0],[0,0,1,0,0,0,1,0],[0,1,0,0,0,0,1,0],[0,1,1,0,1,1,0,0],[0,0,0,1,0,1,0,0],[0,1,0,0,0,0,0,0]]",
item_002472_trial_136746_02_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,22,2,6,7,0.75,1.0,dfs_tree_generator,seed002472_dfs_tree_generator,generic_multi_loop_medium,False,True,True,seed002472_dfs_tree_generator,6763c2f808b8f2ac,ad340352d866cf6c,0,0,1,5,"S.#.....
.#...G.#
..#.....
..#...#.
.#....#.
.##.###.
...#.#..
.#......","[[0,0,1,0,0,0,0,0],[0,1,0,0,0,0,0,1],[0,0,1,0,0,0,0,0],[0,0,1,0,0,0,1,0],[0,1,0,0,0,0,1,0],[0,1,1,0,1,1,1,0],[0,0,0,1,0,1,0,0],[0,1,0,0,0,0,0,0]]",
item_003006_trial_013327_04_stage_clo,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,24,2,9,7,0.65625,1.0,sfg_generator,seed003006_sfg_generator,generic_multi_loop_long,True,True,True,seed003006_sfg_generator,32b8ea7793f3bcef,c595210a9e7700bc,0,2,6,0,"#.S##.#.
..#...#.
....#...
.#..#.#.
...###..
#.###..#
G#.#...#
.......#","[[1,0,0,1,1,0,1,0],[0,0,1,0,0,0,1,0],[0,0,0,0,1,0,0,0],[0,1,0,0,1,0,1,0],[0,0,0,1,1,1,0,0],[1,0,1,1,1,0,0,1],[0,1,0,1,0,0,0,1],[0,0,0,0,0,0,0,1]]",
item_003370_trial_005828_03_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,21,2,7,7,0.765625,1.0,random_wall_generator,seed003370_random_wall_generator,tree_long_high_choice_high_endpoint,False,True,True,seed003370_random_wall_generator,34a1def0d51b1325,5e1a05b85eddd236,2,3,4,0,"........
...#....
##.S##..
.#.##.#.
G.#.....
#...#...
...#.#..
......#.","[[0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0],[1,1,0,0,1,1,0,0],[0,1,0,1,1,0,1,0],[0,0,1,0,0,0,0,0],[1,0,0,0,1,0,0,0],[0,0,0,1,0,1,0,0],[0,0,0,0,0,0,1,0]]",sample_visualizations\by_bin\multi_loop_long_high_choice_high_endpoint\accepted_003.png
item_003809_trial_049174_01_stage_clo,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,22,2,9,7,0.6875,1.0,sfg_generator,seed003809_sfg_generator,generic_multi_loop_medium,True,True,True,seed003809_sfg_generator,0da832c3e5d7f081,7ad33bc0afe99828,1,2,0,3,"..#G.##.
#.S#..#.
..#.#...
.#..##.#
...#....
.#..#.#.
........
.###...#","[[0,0,1,0,0,1,1,0],[1,0,0,1,0,0,1,0],[0,0,1,0,1,0,0,0],[0,1,0,0,1,1,0,1],[0,0,0,1,0,0,0,0],[0,1,0,0,1,0,1,0],[0,0,0,0,0,0,0,0],[0,1,1,1,0,0,0,1]]",
item_003912_trial_060284_01_spb,multi_loop|long|high_choice|high_endpoint,multi_loop,long,high_choice,high_endpoint,handdraw_observed,446,446,True,False,True,21,3,7,7,0.703125,0.9777777777777777,random_wall_generator,seed003912_random_wall_generator,generic_multi_loop_medium,False,True,True,seed003912_random_wall_generator,f776d60e5c390cfd,8430f0796df16e3d,0,3,1,5,"...S.##.
.#.##G##
...#....
.##.#..#
....#...
...#...#
..#..#.#
#.......","[[0,0,0,0,0,1,1,0],[0,1,0,1,1,0,1,1],[0,0,0,1,0,0,0,0],[0,1,1,0,1,0,0,1],[0,0,0,0,1,0,0,0],[0,0,0,1,0,0,0,1],[0,0,1,0,0,1,0,1],[1,0,0,0,0,0,0,0]]",
