bin_key,target_status,quota,confirmed_count,csv_sample_count,visualization_count,is_critical_long_bin
multi_loop|long|high_choice|high_endpoint,handdraw_observed,446,446,446,10,True
multi_loop|long|high_choice|low_endpoint,handdraw_observed,74,74,74,5,False
multi_loop|long|high_choice|mid_endpoint,handdraw_observed,297,297,297,5,False
multi_loop|long|low_choice|high_endpoint,unobserved_possible,6,0,0,0,False
multi_loop|long|low_choice|low_endpoint,unobserved_possible,6,6,6,5,False
multi_loop|long|low_choice|mid_endpoint,unobserved_possible,6,6,6,5,False
multi_loop|long|mid_choice|high_endpoint,unobserved_possible,6,6,6,5,False
multi_loop|long|mid_choice|low_endpoint,unobserved_possible,6,6,6,5,False
multi_loop|long|mid_choice|mid_endpoint,handdraw_observed,74,74,74,5,False
multi_loop|medium|high_choice|high_endpoint,handdraw_observed,446,446,446,5,False
multi_loop|medium|high_choice|low_endpoint,handdraw_observed,74,74,74,5,False
multi_loop|medium|high_choice|mid_endpoint,handdraw_observed,594,594,594,5,False
multi_loop|medium|low_choice|high_endpoint,unobserved_possible,6,0,0,0,False
multi_loop|medium|low_choice|low_endpoint,unobserved_possible,6,6,6,5,False
multi_loop|medium|low_choice|mid_endpoint,unobserved_possible,6,6,6,5,False
multi_loop|medium|mid_choice|high_endpoint,unobserved_possible,6,6,6,5,False
multi_loop|medium|mid_choice|low_endpoint,unobserved_possible,6,6,6,5,False
multi_loop|medium|mid_choice|mid_endpoint,handdraw_observed,74,74,74,5,False
multi_loop|short|high_choice|high_endpoint,handdraw_observed,74,74,74,5,False
multi_loop|short|high_choice|low_endpoint,unobserved_possible,6,6,6,5,False
multi_loop|short|high_choice|mid_endpoint,unobserved_possible,6,6,6,5,False
multi_loop|short|low_choice|high_endpoint,unobserved_possible,6,0,0,0,False
multi_loop|short|low_choice|low_endpoint,unobserved_possible,6,6,6,5,False
multi_loop|short|low_choice|mid_endpoint,unobserved_possible,6,6,6,5,False
multi_loop|short|mid_choice|high_endpoint,unobserved_possible,6,6,6,5,False
multi_loop|short|mid_choice|low_endpoint,unobserved_possible,6,6,6,5,False
multi_loop|short|mid_choice|mid_endpoint,unobserved_possible,6,6,6,5,False
single_loop|long|high_choice|high_endpoint,handdraw_observed,446,446,446,10,True
single_loop|long|low_choice|high_endpoint,unobserved_possible,6,0,0,0,False
single_loop|long|low_choice|low_endpoint,unobserved_possible,6,6,6,5,False
single_loop|long|low_choice|mid_endpoint,unobserved_possible,6,6,6,5,False
single_loop|long|mid_choice|high_endpoint,handdraw_observed,74,74,74,5,False
single_loop|long|mid_choice|mid_endpoint,handdraw_observed,297,297,297,5,False
single_loop|medium|high_choice|high_endpoint,handdraw_observed,371,371,371,5,False
single_loop|medium|low_choice|high_endpoint,unobserved_possible,6,3,3,3,False
single_loop|medium|low_choice|low_endpoint,unobserved_possible,6,6,6,5,False
single_loop|medium|low_choice|mid_endpoint,unobserved_possible,6,6,6,5,False
single_loop|medium|mid_choice|high_endpoint,handdraw_observed,75,75,75,5,False
single_loop|medium|mid_choice|mid_endpoint,unobserved_possible,6,6,6,5,False
single_loop|short|high_choice|high_endpoint,unobserved_possible,6,6,6,5,False
single_loop|short|low_choice|high_endpoint,unobserved_possible,6,6,6,5,False
single_loop|short|low_choice|low_endpoint,unobserved_possible,6,6,6,5,False
single_loop|short|low_choice|mid_endpoint,unobserved_possible,6,6,6,5,False
single_loop|short|mid_choice|high_endpoint,unobserved_possible,6,6,6,5,False
single_loop|short|mid_choice|mid_endpoint,unobserved_possible,6,6,6,5,False
tree|long|high_choice|high_endpoint,handdraw_observed,371,371,371,10,True
tree|long|low_choice|high_endpoint,unobserved_possible,6,0,0,0,False
tree|long|low_choice|mid_endpoint,handdraw_observed,297,297,297,10,True
tree|long|mid_choice|high_endpoint,handdraw_observed,446,446,446,10,True
tree|long|mid_choice|mid_endpoint,handdraw_observed,149,149,149,5,False
tree|medium|high_choice|high_endpoint,unobserved_possible,6,6,6,5,False
tree|medium|low_choice|high_endpoint,unobserved_possible,6,6,6,5,False
tree|medium|low_choice|mid_endpoint,unobserved_possible,6,6,6,5,False
tree|medium|mid_choice|high_endpoint,handdraw_observed,75,75,75,5,False
tree|medium|mid_choice|mid_endpoint,unobserved_possible,6,6,6,5,False
tree|short|high_choice|high_endpoint,unobserved_possible,6,6,6,5,False
tree|short|low_choice|high_endpoint,unobserved_possible,6,6,6,5,False
tree|short|low_choice|mid_endpoint,unobserved_possible,6,6,6,5,False
tree|short|mid_choice|high_endpoint,unobserved_possible,6,6,6,5,False
tree|short|mid_choice|mid_endpoint,unobserved_possible,6,6,6,5,False
