state_id,action,reward,category,hit_wall,repeat,success,d0,d1,delta_d
0,0,-0.9505488276481628,wall,True,False,False,14,14,0
0,1,-0.1831696778535843,toward_goal,False,False,False,14,13,1
0,2,-0.9927576184272766,wall,True,False,False,14,14,0
0,3,-0.14625246822834015,toward_goal,False,False,False,14,13,1
1,0,-0.9894418716430664,away_goal,False,False,False,7,8,-1
1,1,-0.7999402284622192,toward_goal,False,False,False,7,6,1
1,2,-0.9959458112716675,repeat,False,True,False,7,8,-1
1,3,-0.3125419616699219,toward_goal,False,False,False,7,6,1
2,0,-0.9870747327804565,wall,True,False,False,1,1,0
2,1,-0.8508045673370361,wall,True,False,False,1,1,0
2,2,-0.9905414581298828,repeat,False,True,False,1,2,-1
2,3,0.08701959997415543,goal,False,False,True,1,0,1
3,0,-0.9505488276481628,wall,True,False,False,14,14,0
3,1,-0.1831696778535843,toward_goal,False,False,False,14,13,1
3,2,-0.9927576184272766,wall,True,False,False,14,14,0
3,3,-0.14625246822834015,toward_goal,False,False,False,14,13,1
4,0,-0.9397395849227905,away_goal,False,False,False,6,7,-1
4,1,-0.7081106305122375,toward_goal,False,False,False,6,5,1
4,2,-0.9904821515083313,repeat,False,True,False,6,7,-1
4,3,-0.42802101373672485,toward_goal,False,False,False,6,5,1
5,0,-0.9338393211364746,wall,True,False,False,1,1,0
5,1,-0.7863406538963318,wall,True,False,False,1,1,0
5,2,-0.9880577325820923,repeat,False,True,False,1,2,-1
5,3,-0.5178201198577881,goal,False,False,True,1,0,1
6,0,-0.9505488276481628,wall,True,False,False,14,14,0
6,1,-0.1831696778535843,toward_goal,False,False,False,14,13,1
6,2,-0.9927576184272766,wall,True,False,False,14,14,0
6,3,-0.14625246822834015,toward_goal,False,False,False,14,13,1
7,0,-0.9503631591796875,repeat,False,True,False,8,9,-1
7,1,-0.2990097105503082,toward_goal,False,False,False,8,7,1
7,2,-0.9904631972312927,away_goal,False,False,False,8,9,-1
7,3,-0.14009571075439453,toward_goal,False,False,False,8,7,1
8,0,-0.9340736865997314,wall,True,False,False,1,1,0
8,1,-0.5076890587806702,wall,True,False,False,1,1,0
8,2,-0.9882686138153076,repeat,False,True,False,1,2,-1
8,3,-0.16563968360424042,goal,False,False,True,1,0,1
9,0,-0.9505488276481628,wall,True,False,False,14,14,0
9,1,-0.1831696778535843,toward_goal,False,False,False,14,13,1
9,2,-0.9927576184272766,wall,True,False,False,14,14,0
9,3,-0.14625246822834015,toward_goal,False,False,False,14,13,1
10,0,-0.9518819451332092,repeat,False,True,False,12,13,-1
10,1,-0.7919610142707825,wall,True,False,False,12,12,0
10,2,-0.9918862581253052,repeat,False,True,False,12,13,-1
10,3,-0.5162547826766968,toward_goal,False,False,False,12,11,1
11,0,-0.9540352821350098,repeat,False,True,False,10,11,-1
11,1,-0.4936906695365906,toward_goal,False,False,False,10,9,1
11,2,-0.9857372045516968,wall,True,False,False,10,10,0
11,3,-0.5608989000320435,toward_goal,False,False,False,10,9,1
12,0,-0.9505488276481628,wall,True,False,False,14,14,0
12,1,-0.1831696778535843,toward_goal,False,False,False,14,13,1
12,2,-0.9927576184272766,wall,True,False,False,14,14,0
12,3,-0.14625246822834015,toward_goal,False,False,False,14,13,1
13,0,-0.9549975991249084,wall,True,False,False,14,14,0
13,1,-0.5421915054321289,toward_goal,False,False,False,14,13,1
13,2,-0.9853453636169434,wall,True,False,False,14,14,0
13,3,-0.014613254927098751,repeat,False,True,False,14,13,1
14,0,-0.9784736633300781,wall,True,False,False,13,13,0
14,1,-0.8544201254844666,toward_goal,False,False,False,13,12,1
14,2,-0.992050290107727,repeat,False,True,False,13,14,-1
14,3,-0.7761631011962891,toward_goal,False,False,False,13,12,1
15,0,-0.9941432476043701,wall,True,False,False,14,14,0
15,1,-0.2971563935279846,toward_goal,False,False,False,14,13,1
15,2,-0.9991008639335632,wall,True,False,False,14,14,0
15,3,-0.8329073786735535,wall,True,False,False,14,14,0
16,0,-0.9933494329452515,repeat,False,True,False,7,8,-1
16,1,-0.612208366394043,wall,True,False,False,7,7,0
16,2,-0.9984676241874695,wall,True,False,False,7,7,0
16,3,-0.916160523891449,toward_goal,False,False,False,7,6,1
17,0,-0.9853702783584595,away_goal,False,False,False,1,2,-1
17,1,-0.9178502559661865,wall,True,False,False,1,1,0
17,2,-0.9991198182106018,repeat,False,True,False,1,2,-1
17,3,-0.9041135311126709,goal,False,False,True,1,0,1
18,0,-0.9941432476043701,wall,True,False,False,14,14,0
18,1,-0.2971563935279846,toward_goal,False,False,False,14,13,1
18,2,-0.9991008639335632,wall,True,False,False,14,14,0
18,3,-0.8329073786735535,wall,True,False,False,14,14,0
19,0,-0.9875957369804382,wall,True,False,False,6,6,0
19,1,-0.6863793134689331,wall,True,False,False,6,6,0
19,2,-0.9988381266593933,repeat,False,True,False,6,7,-1
19,3,-0.8652585744857788,toward_goal,False,False,False,6,5,1
20,0,-0.986648440361023,away_goal,False,False,False,1,2,-1
20,1,-0.9131828546524048,wall,True,False,False,1,1,0
20,2,-0.9989795684814453,repeat,False,True,False,1,2,-1
20,3,-0.8710525631904602,goal,False,False,True,1,0,1
21,0,-0.9941432476043701,wall,True,False,False,14,14,0
21,1,-0.2971563935279846,toward_goal,False,False,False,14,13,1
21,2,-0.9991008639335632,wall,True,False,False,14,14,0
21,3,-0.8329073786735535,wall,True,False,False,14,14,0
22,0,-0.9929386377334595,repeat,False,True,False,7,8,-1
22,1,-0.5475838780403137,wall,True,False,False,7,7,0
22,2,-0.9986391663551331,wall,True,False,False,7,7,0
22,3,-0.894732654094696,toward_goal,False,False,False,7,6,1
23,0,-0.9843699932098389,away_goal,False,False,False,1,2,-1
23,1,-0.9019957780838013,wall,True,False,False,1,1,0
23,2,-0.9991649389266968,repeat,False,True,False,1,2,-1
23,3,-0.8756670951843262,goal,False,False,True,1,0,1
24,0,-0.9941432476043701,wall,True,False,False,14,14,0
24,1,-0.2971563935279846,toward_goal,False,False,False,14,13,1
24,2,-0.9991008639335632,wall,True,False,False,14,14,0
24,3,-0.8329073786735535,wall,True,False,False,14,14,0
25,0,-0.9991520047187805,repeat,False,True,False,13,14,-1
25,1,-0.9133039116859436,repeat,False,True,False,13,12,1
25,2,-0.9999011754989624,wall,True,False,False,13,13,0
25,3,-0.9596619606018066,wall,True,False,False,13,13,0
26,0,-0.9979739785194397,repeat,False,True,False,12,13,-1
26,1,-0.7259746193885803,repeat,False,True,False,12,11,1
26,2,-0.9997278451919556,repeat,False,True,False,12,11,1
26,3,-0.863158106803894,repeat,False,True,False,12,13,-1
27,0,-0.9941432476043701,wall,True,False,False,14,14,0
27,1,-0.2971563935279846,toward_goal,False,False,False,14,13,1
27,2,-0.9991008639335632,wall,True,False,False,14,14,0
27,3,-0.8329073786735535,wall,True,False,False,14,14,0
28,0,-0.9910781383514404,wall,True,False,False,14,14,0
28,1,-0.16737620532512665,repeat,False,True,False,14,13,1
28,2,-0.9988071322441101,wall,True,False,False,14,14,0
28,3,-0.857601523399353,wall,True,False,False,14,14,0
29,0,-0.9969852566719055,repeat,False,True,False,13,14,-1
29,1,-0.8062906861305237,toward_goal,False,False,False,13,12,1
29,2,-0.9996567964553833,wall,True,False,False,13,13,0
29,3,-0.9643251299858093,wall,True,False,False,13,13,0
30,0,-0.9887237548828125,wall,True,False,False,14,14,0
30,1,0.04476030543446541,toward_goal,False,False,False,14,13,1
30,2,-0.9998157620429993,wall,True,False,False,14,14,0
30,3,-0.07940466701984406,toward_goal,False,False,False,14,13,1
