idx,source,outcome,steps,bfs_len,gap,final_bfs_dist,wall_hits,score_sum,score_avg,quality_key
0,bfs,success,14,14,0,0,0,-5.091151364147663,-0.36365366886769024,"[3, 0, 0]"
1,noisy_bfs,success,18,14,4,0,2,-8.890057057142258,-0.4938920587301254,"[3, -4, -2]"
2,noisy_bfs,success,19,14,5,0,1,-7.764024429023266,-0.408632864685435,"[3, -5, -1]"
3,random,wall,64,14,64,9,21,-53.97428397834301,-0.8433481871616095,"[1, -9, -21]"
4,safe_loop,timeout,64,14,64,14,0,-32.34487265441567,-0.5053886352252448,"[2, -14, 0]"
5,bfs,success,14,14,0,0,0,-10.039537400007248,-0.717109814286232,"[3, 0, 0]"
6,noisy_bfs,success,16,14,2,0,0,-11.523585230112076,-0.7202240768820047,"[3, -2, 0]"
7,noisy_bfs,success,24,14,10,0,4,-19.092430263757706,-0.795517927656571,"[3, -10, -4]"
8,random,wall,64,14,64,13,15,-55.51106998324394,-0.8673604684881866,"[1, -13, -15]"
9,safe_loop,timeout,64,14,64,14,0,-37.38934697210789,-0.5842085464391857,"[2, -14, 0]"
10,bfs,success,14,14,0,0,0,-7.1577583365142345,-0.5112684526081596,"[3, 0, 0]"
11,noisy_bfs,success,15,14,1,0,1,-6.292869908735156,-0.4195246605823437,"[3, -1, -1]"
12,noisy_bfs,success,18,14,4,0,2,-9.823567062616348,-0.5457537257009082,"[3, -4, -2]"
13,random,wall,64,14,64,7,13,-48.01965093240142,-0.7503070458187722,"[1, -7, -13]"
14,safe_loop,timeout,64,14,64,14,0,-31.03664857521653,-0.4849476339877583,"[2, -14, 0]"
15,bfs,success,14,14,0,0,0,-9.056329935789108,-0.6468807096992221,"[3, 0, 0]"
16,noisy_bfs,success,18,14,4,0,0,-11.460757976397872,-0.6367087764665484,"[3, -4, 0]"
17,noisy_bfs,success,18,14,4,0,0,-13.070961818099022,-0.7261645454499457,"[3, -4, 0]"
18,random,wall,64,14,64,11,21,-52.03691238164902,-0.8130767559632659,"[1, -11, -21]"
19,safe_loop,timeout,64,14,64,14,0,-31.30072634667158,-0.48907384916674346,"[2, -14, 0]"
20,bfs,success,18,18,0,0,0,-9.528214372694492,-0.5293452429274718,"[3, 0, 0]"
21,noisy_bfs,success,20,18,2,0,2,-11.238433606922626,-0.5619216803461313,"[3, -2, -2]"
22,noisy_bfs,success,22,18,4,0,2,-12.130048371851444,-0.5513658350841566,"[3, -4, -2]"
23,random,wall,64,18,64,11,35,-49.95165041089058,-0.7804945376701653,"[1, -11, -35]"
24,safe_loop,timeout,64,18,64,18,0,-40.063684433698654,-0.6259950692765415,"[2, -18, 0]"
25,bfs,success,14,14,0,0,0,-4.907755114138126,-0.35055393672415186,"[3, 0, 0]"
26,noisy_bfs,success,17,14,3,0,1,-6.594359841197729,-0.38790352007045464,"[3, -3, -1]"
27,noisy_bfs,success,14,14,0,0,0,-7.480386590585113,-0.5343133278989366,"[3, 0, 0]"
28,random,wall,64,14,64,6,10,-50.07770399283618,-0.7824641248880653,"[1, -6, -10]"
29,safe_loop,timeout,64,14,64,14,0,-36.54226644337177,-0.570972913177684,"[2, -14, 0]"
30,bfs,success,18,18,0,0,0,-15.148975670337677,-0.8416097594632043,"[3, 0, 0]"
31,noisy_bfs,success,21,18,3,0,1,-18.708094537258148,-0.8908616446313404,"[3, -3, -1]"
32,noisy_bfs,success,26,18,8,0,2,-21.534462213516235,-0.8282485466737014,"[3, -8, -2]"
