idx,source,outcome,steps,bfs_len,gap,final_bfs_dist,wall_hits,score_sum,score_avg,quality_key
0,bfs,success,14,14,0,0,0,-7.0745872259140015,-0.5053276589938572,"[3, 0, 0]"
1,noisy_bfs,success,17,14,3,0,1,-8.035809550434351,-0.47269467943731475,"[3, -3, -1]"
2,noisy_bfs,success,14,14,0,0,0,-5.876227379776537,-0.4197305271268955,"[3, 0, 0]"
3,random,wall,64,14,64,13,21,-55.83855298161507,-0.8724773903377354,"[1, -13, -21]"
4,safe_loop,timeout,64,14,64,14,0,-38.68380670249462,-0.6044344797264785,"[2, -14, 0]"
5,bfs,success,14,14,0,0,0,-5.433899197727442,-0.38813565698053154,"[3, 0, 0]"
6,noisy_bfs,success,16,14,2,0,2,-5.3126335251145065,-0.33203959531965666,"[3, -2, -2]"
7,noisy_bfs,success,28,14,14,0,0,-12.694952191784978,-0.4533911497066064,"[3, -14, 0]"
8,random,wall,64,14,64,7,7,-45.899294764734805,-0.7171764806989813,"[1, -7, -7]"
9,safe_loop,timeout,64,14,64,14,0,-29.429381158202887,-0.4598340805969201,"[2, -14, 0]"
10,bfs,success,18,18,0,0,0,-4.190111105330288,-0.23278395029612714,"[3, 0, 0]"
11,noisy_bfs,success,22,18,4,0,2,-7.56608019489795,-0.34391273613172496,"[3, -4, -2]"
12,noisy_bfs,success,35,18,17,0,3,-15.872727863490582,-0.4535065103854452,"[3, -17, -3]"
13,random,wall,64,18,64,16,16,-40.59740754030645,-0.6343344928172883,"[1, -16, -16]"
14,safe_loop,timeout,64,18,64,18,0,-23.949661508202553,-0.3742134610656649,"[2, -18, 0]"
15,bfs,success,14,14,0,0,0,-6.079998657107353,-0.43428561836481094,"[3, 0, 0]"
16,noisy_bfs,success,18,14,4,0,2,-7.475978665985167,-0.41533214811028707,"[3, -4, -2]"
17,noisy_bfs,success,23,14,9,0,7,-16.673233131878078,-0.7249231796468729,"[3, -9, -7]"
18,random,wall,64,14,64,11,27,-51.176188146695495,-0.7996279397921171,"[1, -11, -27]"
19,safe_loop,timeout,64,14,64,14,0,-16.920939296483994,-0.2643896765075624,"[2, -14, 0]"
20,bfs,success,18,18,0,0,0,-7.786274865269661,-0.4325708258483145,"[3, 0, 0]"
21,noisy_bfs,success,25,18,7,0,3,-13.540157869458199,-0.541606314778328,"[3, -7, -3]"
22,noisy_bfs,success,20,18,2,0,2,-10.719040155410767,-0.5359520077705383,"[3, -2, -2]"
23,random,wall,64,18,64,17,43,-48.2075320482254,-0.7532426882535219,"[1, -17, -43]"
24,safe_loop,timeout,64,18,64,18,0,-22.52396184206009,-0.3519369037821889,"[2, -18, 0]"
25,bfs,success,14,14,0,0,0,-5.007273587863892,-0.3576623991331352,"[3, 0, 0]"
26,noisy_bfs,success,16,14,2,0,0,-5.522944159340113,-0.3451840099587571,"[3, -2, 0]"
27,noisy_bfs,success,14,14,0,0,0,-7.211670029442757,-0.5151192878173398,"[3, 0, 0]"
28,random,wall,64,14,64,7,19,-50.355962369125336,-0.7868119120175834,"[1, -7, -19]"
29,safe_loop,timeout,64,14,64,14,0,-29.15003888634965,-0.45546935759921325,"[2, -14, 0]"
30,bfs,success,14,14,0,0,0,-8.875109300017357,-0.6339363785726684,"[3, 0, 0]"
31,noisy_bfs,success,14,14,0,0,0,-8.909940004348755,-0.6364242860249111,"[3, 0, 0]"
32,noisy_bfs,success,18,14,4,0,0,-10.626943856477737,-0.5903857698043188,"[3, -4, 0]"
33,random,wall,64,14,64,7,17,-46.9042345918715,-0.7328786654979922,"[1, -7, -17]"
34,safe_loop,timeout,64,14,64,14,0,-32.28990803472698,-0.504529813042609,"[2, -14, 0]"
35,bfs,success,14,14,0,0,0,-6.34920409321785,-0.45351457808698925,"[3, 0, 0]"
36,noisy_bfs,success,17,14,3,0,1,-9.447600986808538,-0.5557412345181493,"[3, -3, -1]"
37,noisy_bfs,success,29,14,15,0,7,-15.88599082455039,-0.5477927870534617,"[3, -15, -7]"
38,random,wall,64,14,64,8,20,-40.903562805615366,-0.6391181688377401,"[1, -8, -20]"
39,safe_loop,timeout,64,14,64,14,0,-29.509873785078526,-0.46109177789185196,"[2, -14, 0]"
40,bfs,success,14,14,0,0,0,-6.274492934346199,-0.4481780667390142,"[3, 0, 0]"
41,noisy_bfs,success,15,14,1,0,1,-6.730198055505753,-0.44867987036705015,"[3, -1, -1]"
42,noisy_bfs,success,20,14,6,0,2,-10.997646793723106,-0.5498823396861553,"[3, -6, -2]"
43,random,wall,64,14,64,12,28,-53.4646234177053,-0.8353847409016453,"[1, -12, -28]"
44,safe_loop,timeout,64,14,64,14,0,-28.68056919425726,-0.4481338936602697,"[2, -14, 0]"
45,bfs,success,18,18,0,0,0,-16.777201533317566,-0.9320667518509759,"[3, 0, 0]"
46,noisy_bfs,success,23,18,5,0,1,-21.859570503234863,-0.9504161088362985,"[3, -5, -1]"
47,noisy_bfs,success,32,18,14,0,6,-29.994119584560394,-0.9373162370175123,"[3, -14, -6]"
48,random,wall,64,18,64,12,30,-62.78027504682541,-0.980941797606647,"[1, -12, -30]"
49,safe_loop,timeout,64,18,64,18,0,-61.28801637887955,-0.9576252559199929,"[2, -18, 0]"
50,bfs,success,14,14,0,0,0,-8.757697518914938,-0.6255498227796384,"[3, 0, 0]"
51,noisy_bfs,success,18,14,4,0,0,-12.65962940454483,-0.703312744696935,"[3, -4, 0]"
52,noisy_bfs,success,30,14,16,0,2,-23.683130994439125,-0.7894376998146375,"[3, -16, -2]"
53,random,wall,64,14,64,6,12,-51.16735364496708,-0.7994899007026106,"[1, -6, -12]"
54,safe_loop,timeout,64,14,64,14,0,-38.971539571881294,-0.6089303058106452,"[2, -14, 0]"
55,bfs,success,14,14,0,0,0,-8.426833048462868,-0.6019166463187763,"[3, 0, 0]"
56,noisy_bfs,success,17,14,3,0,1,-8.437470465898514,-0.49632179211167726,"[3, -3, -1]"
57,noisy_bfs,success,18,14,4,0,2,-9.988469675183296,-0.5549149819546275,"[3, -4, -2]"
58,random,wall,64,14,64,7,31,-52.412643536925316,-0.8189475552644581,"[1, -7, -31]"
59,safe_loop,timeout,64,14,64,14,0,-35.71731971204281,-0.5580831205006689,"[2, -14, 0]"
60,bfs,success,16,16,0,0,0,-4.724078714847565,-0.2952549196779728,"[3, 0, 0]"
61,noisy_bfs,success,24,16,8,0,0,-12.857086222618818,-0.5357119259424508,"[3, -8, 0]"
62,noisy_bfs,success,19,16,3,0,1,-8.264124289155006,-0.43495390995552663,"[3, -3, -1]"
63,random,wall,64,16,64,15,45,-56.84765189886093,-0.888244560919702,"[1, -15, -45]"
64,safe_loop,timeout,64,16,64,16,0,-36.417930737137794,-0.569030167767778,"[2, -16, 0]"
65,bfs,success,14,14,0,0,0,-10.944117903709412,-0.7817227074078151,"[3, 0, 0]"
66,noisy_bfs,success,16,14,2,0,0,-12.459089159965515,-0.7786930724978447,"[3, -2, 0]"
67,noisy_bfs,success,16,14,2,0,0,-12.309783846139908,-0.7693614903837442,"[3, -2, 0]"
68,random,wall,64,14,64,9,25,-57.90716728568077,-0.904799488838762,"[1, -9, -25]"
69,safe_loop,timeout,64,14,64,14,0,-53.31214267015457,-0.8330022292211652,"[2, -14, 0]"
70,bfs,success,14,14,0,0,0,-4.3170713651925325,-0.30836224037089516,"[3, 0, 0]"
71,noisy_bfs,success,14,14,0,0,0,-2.9072258919477463,-0.20765899228198187,"[3, 0, 0]"
72,noisy_bfs,success,29,14,15,0,3,-15.716775935143232,-0.541957790867008,"[3, -15, -3]"
73,random,wall,64,14,64,11,21,-44.711960673332214,-0.6986243855208158,"[1, -11, -21]"
74,safe_loop,timeout,64,14,64,14,0,-21.726687029004097,-0.339479484828189,"[2, -14, 0]"
75,bfs,success,14,14,0,0,0,-6.669066123664379,-0.4763618659760271,"[3, 0, 0]"
76,noisy_bfs,success,21,14,7,0,1,-13.150407940149307,-0.6262099019118718,"[3, -7, -1]"
77,noisy_bfs,success,24,14,10,0,2,-15.246722355484962,-0.6352800981452068,"[3, -10, -2]"
78,random,wall,64,14,64,8,14,-45.66308623366058,-0.7134857224009465,"[1, -8, -14]"
79,safe_loop,timeout,64,14,64,14,0,-28.498798795044422,-0.4452937311725691,"[2, -14, 0]"
80,bfs,success,14,14,0,0,0,-8.531435161828995,-0.6093882258449282,"[3, 0, 0]"
