idx,source,outcome,steps,bfs_len,gap,final_bfs_dist,wall_hits,score_sum,score_avg,score_bfsnorm,badness,repeat_count,quality_key
0,bfs,success,14,14,0,0,0,12.29052996635437,0.8778949975967407,0.8778949975967407,0.0,0,"[2, 0, 0, 0, 0]"
1,controlled_success,success,14,14,0,0,0,12.171189099550247,0.8693706499678748,0.8693706499678748,0.0,0,"[2, 0, 0, 0, 0]"
2,controlled_success,success,34,14,20,0,0,5.8464552611112595,0.17195456650327234,0.4176039472222328,0.7320952924318758,15,"[2, 0, -20, 0, -15]"
3,random_avoid_goal,timeout,64,14,64,14,16,-53.11227465607226,-0.829879291501129,-3.7937339040051614,4.176856522432542,63,"[1, -1, -14, -16, -63]"
4,safe_loop,timeout,64,14,64,14,0,-51.99001362361014,-0.8123439628689084,-3.7135724016864384,2.4981429386478133,63,"[1, 0, -14, 0, -63]"
5,prefix_sticky_wall,timeout,64,14,64,8,58,-52.66218459606171,-0.8228466343134642,-3.761584614004408,4.036627119241192,58,"[1, -1, -8, -58, -58]"
6,bfs,success,18,18,0,0,0,13.143826425075531,0.7302125791708628,0.7302125791708628,0.0,0,"[2, 0, 0, 0, 0]"
7,controlled_success,success,22,18,4,0,0,13.022361040115356,0.5919255018234253,0.7234645022286309,0.279731869158482,4,"[2, 0, -4, 0, -4]"
8,controlled_success,success,24,18,6,0,0,13.027148187160492,0.5427978411316872,0.7237304548422495,0.363512121058892,6,"[2, 0, -6, 0, -6]"
9,random_avoid_goal,timeout,64,18,64,18,22,-57.55020487308502,-0.8992219511419535,-3.197233604060279,4.249269753963044,63,"[1, -1, -18, -22, -63]"
10,safe_loop,timeout,64,18,64,18,0,-56.24628955125809,-0.8788482742384076,-3.1247938639587827,2.4981429386478133,63,"[1, 0, -18, 0, -63]"
11,prefix_sticky_wall,timeout,64,18,64,10,56,-48.688593327999115,-0.7607592707499862,-2.7049218515555062,4.008362041788311,56,"[1, -1, -10, -56, -56]"
12,bfs,success,14,14,0,0,0,13.102598786354065,0.9358999133110046,0.9358999133110046,0.0,0,"[2, 0, 0, 0, 0]"
13,controlled_success,success,18,14,4,0,0,13.125230073928833,0.7291794485516019,0.9375164338520595,0.24604764621593783,3,"[2, 0, -4, 0, -3]"
14,controlled_success,success,30,14,16,0,0,10.341613203287125,0.3447204401095708,0.7386866573776517,0.6072152387598575,10,"[2, 0, -16, 0, -10]"
15,random_avoid_goal,timeout,64,14,64,13,23,-57.12667205929756,-0.8926042509265244,-4.080476575664112,4.188036598452331,63,"[1, -1, -13, -23, -63]"
16,safe_loop,timeout,64,14,64,14,0,-50.352980211377144,-0.7867653158027679,-3.596641443669796,2.4981429386478133,63,"[1, 0, -14, 0, -63]"
17,prefix_sticky_wall,timeout,64,14,64,8,58,-52.4590140581131,-0.8196720946580172,-3.7470724327223643,4.036627119241192,58,"[1, -1, -8, -58, -58]"
18,bfs,success,14,14,0,0,0,12.99618273973465,0.9282987671239036,0.9282987671239036,0.0,0,"[2, 0, 0, 0, 0]"
19,controlled_success,success,16,14,2,0,0,12.920386612415314,0.8075241632759571,0.9228847580296653,0.04,0,"[2, 0, -2, 0, 0]"
20,controlled_success,success,16,14,2,0,0,12.552182495594025,0.7845114059746265,0.8965844639710018,0.12302382310796892,1,"[2, 0, -2, 0, -1]"
21,random_avoid_goal,timeout,64,14,64,13,23,-54.22786604985595,-0.8473104070289992,-3.873419003561139,4.188036598452331,63,"[1, -1, -13, -23, -63]"
22,safe_loop,timeout,64,14,64,14,0,-48.68084137700498,-0.7606381465157028,-3.477202955500356,2.4981429386478133,63,"[1, 0, -14, 0, -63]"
23,prefix_sticky_wall,timeout,64,14,64,8,58,-52.415717363357544,-0.8189955838024616,-3.743979811668396,4.036627119241192,58,"[1, -1, -8, -58, -58]"
24,bfs,success,18,18,0,0,0,12.670969069004059,0.703942726055781,0.703942726055781,0.0,0,"[2, 0, 0, 0, 0]"
25,controlled_success,success,20,18,2,0,0,12.492451786994934,0.6246225893497467,0.6940250992774963,0.17506790716220255,2,"[2, 0, -2, 0, -2]"
26,controlled_success,success,36,18,18,0,0,5.869028382003307,0.16302856616675854,0.3260571323335171,0.7375074635193306,17,"[2, 0, -18, 0, -17]"
27,random_avoid_goal,timeout,64,18,64,18,20,-58.7280857861042,-0.9176263404078782,-3.2626714325613446,4.227476908133481,63,"[1, -1, -18, -20, -63]"
28,safe_loop,timeout,64,18,64,18,0,-52.328248193487525,-0.8176288780232426,-2.907124899638196,2.4981429386478133,63,"[1, 0, -18, 0, -63]"
29,prefix_sticky_wall,timeout,64,18,64,10,56,-48.64327961206436,-0.7600512439385056,-2.7024044228924646,4.008362041788311,56,"[1, -1, -10, -56, -56]"
30,bfs,success,14,14,0,0,0,12.861196637153625,0.9186569026538304,0.9186569026538304,0.0,0,"[2, 0, 0, 0, 0]"
31,controlled_success,success,18,14,4,0,0,11.696778357028961,0.6498210198349423,0.8354841683592115,0.16302382310796892,1,"[2, 0, -4, 0, -1]"
32,controlled_success,success,32,14,18,0,0,2.367723349481821,0.07399135467130691,0.16912309639155865,0.6843649937119889,14,"[2, 0, -18, 0, -14]"
33,random_avoid_goal,timeout,64,14,64,14,18,-55.71345266699791,-0.8705226979218423,-3.9795323333569934,4.203501303551042,63,"[1, -1, -14, -18, -63]"
34,safe_loop,timeout,64,14,64,14,0,-52.14528467133641,-0.8147700729896314,-3.7246631908097436,2.4981429386478133,63,"[1, 0, -14, 0, -63]"
35,prefix_sticky_wall,timeout,64,14,64,9,57,-52.58713150024414,-0.8216739296913147,-3.756223678588867,4.103960614613314,58,"[1, -1, -9, -57, -58]"
36,bfs,success,18,18,0,0,0,12.59143340587616,0.6995240781042311,0.6995240781042311,0.0,0,"[2, 0, 0, 0, 0]"
37,controlled_success,success,24,18,6,0,0,12.13640171289444,0.505683404703935,0.6742445396052467,0.32321013002804727,4,"[2, 0, -6, 0, -4]"
38,controlled_success,success,60,18,42,0,0,-5.669523425400257,-0.09449205709000429,-0.31497352363334763,1.3518577771341551,38,"[2, 0, -42, 0, -38]"
39,random_avoid_goal,timeout,64,18,64,18,26,-58.4647668391699,-0.9135119818620296,-3.2480426021761053,4.287680816403637,63,"[1, -1, -18, -26, -63]"
40,safe_loop,timeout,64,18,64,18,0,-54.42746511287987,-0.850429142388748,-3.0237480618266597,2.4981429386478133,63,"[1, 0, -18, 0, -63]"
41,prefix_sticky_wall,timeout,64,18,64,11,55,-49.08581006526947,-0.7669657822698355,-2.726989448070526,4.059677555403569,56,"[1, -1, -11, -55, -56]"
42,bfs,success,18,18,0,0,0,12.845839381217957,0.7136577434009976,0.7136577434009976,0.0,0,"[2, 0, 0, 0, 0]"
43,controlled_success,success,26,18,8,0,0,12.035911738872528,0.462919682264328,0.668661763270696,0.4229845128021676,7,"[2, 0, -8, 0, -7]"
44,controlled_success,success,34,18,16,0,0,10.440712124109268,0.30707976835615497,0.5800395624505149,0.6550507395371701,12,"[2, 0, -16, 0, -12]"
45,random_avoid_goal,timeout,64,18,64,18,28,-60.638635512266774,-0.9474786798791683,-3.3688130840148207,4.304799248250506,63,"[1, -1, -18, -28, -63]"
46,safe_loop,timeout,64,18,64,18,0,-55.01771703362465,-0.8596518286503851,-3.0565398352013693,2.4981429386478133,63,"[1, 0, -18, 0, -63]"
47,prefix_sticky_wall,timeout,64,18,64,10,56,-52.75933974981308,-0.8243646835908294,-2.9310744305451712,4.008362041788311,56,"[1, -1, -10, -56, -56]"
48,bfs,success,14,14,0,0,0,13.115847051143646,0.9368462179388318,0.9368462179388318,0.0,0,"[2, 0, 0, 0, 0]"
49,controlled_success,success,20,14,6,0,0,11.574714183807373,0.5787357091903687,0.8267652988433838,0.25158964629263736,2,"[2, 0, -6, 0, -2]"
50,controlled_success,success,22,14,8,0,0,9.01078537106514,0.40958115323023364,0.6436275265046528,0.32604764621593785,3,"[2, 0, -8, 0, -3]"
51,random_avoid_goal,timeout,64,14,64,14,24,-55.238545358181,-0.8631022712215781,-3.945610382727214,4.26924432832522,63,"[1, -1, -14, -24, -63]"
52,safe_loop,timeout,64,14,64,14,0,-51.76492330059409,-0.8088269265717827,-3.6974945214710067,2.4981429386478133,63,"[1, 0, -14, 0, -63]"
53,prefix_sticky_wall,timeout,64,14,64,8,58,-52.6326043009758,-0.8223844422027469,-3.7594717357839857,4.036627119241192,58,"[1, -1, -8, -58, -58]"
54,bfs,success,18,18,0,0,0,12.929819822311401,0.7183233234617445,0.7183233234617445,0.0,0,"[2, 0, 0, 0, 0]"
55,controlled_success,success,22,18,4,0,0,12.428683698177338,0.5649401680989699,0.6904824276765188,0.279731869158482,4,"[2, 0, -4, 0, -4]"
56,controlled_success,success,18,18,0,0,0,12.59842300415039,0.6999123891194662,0.6999123891194662,0.0,0,"[2, 0, 0, 0, 0]"
57,random_avoid_goal,timeout,64,18,64,18,24,-59.74542310833931,-0.9335222360678017,-3.3191901726855173,4.26924432832522,63,"[1, -1, -18, -24, -63]"
58,safe_loop,timeout,64,18,64,18,0,-55.14755956083536,-0.8616806181380525,-3.063753308935298,2.4981429386478133,63,"[1, 0, -18, 0, -63]"
59,prefix_sticky_wall,timeout,64,18,64,10,56,-52.62092071771622,-0.8222018862143159,-2.923384484317568,4.008362041788311,56,"[1, -1, -10, -56, -56]"
60,bfs,success,18,18,0,0,0,13.016045033931732,0.7231136129962074,0.7231136129962074,0.0,0,"[2, 0, 0, 0, 0]"
61,controlled_success,success,22,18,4,0,0,12.706047058105469,0.5775475935502485,0.7058915032280816,0.279731869158482,4,"[2, 0, -4, 0, -4]"
62,controlled_success,success,36,18,18,0,0,10.517365150153637,0.2921490319487121,0.5842980638974242,0.7306611397184513,16,"[2, 0, -18, 0, -16]"
63,random_avoid_goal,timeout,64,18,64,17,21,-58.33776331692934,-0.9115275518270209,-3.240986850940519,4.183065506827911,63,"[1, -1, -17, -21, -63]"
64,safe_loop,timeout,64,18,64,18,0,-56.69484290853143,-0.8858569204458036,-3.1497134949184127,2.4981429386478133,63,"[1, 0, -18, 0, -63]"
65,prefix_sticky_wall,timeout,64,18,64,10,56,-50.681498765945435,-0.7918984182178974,-2.8156388203303018,4.008362041788311,56,"[1, -1, -10, -56, -56]"
66,bfs,success,14,14,0,0,0,12.945556879043579,0.9246826342173985,0.9246826342173985,0.0,0,"[2, 0, 0, 0, 0]"
67,controlled_success,success,20,14,6,0,0,12.51705551147461,0.6258527755737304,0.8940753936767578,0.3346134694006062,5,"[2, 0, -6, 0, -5]"
68,controlled_success,success,48,14,34,0,0,-6.231695748865604,-0.12982699476803342,-0.44512112491897177,1.0833281548013465,28,"[2, 0, -34, 0, -28]"
69,random_avoid_goal,timeout,64,14,64,13,23,-60.932630106806755,-0.9520723454188555,-4.352330721914768,4.188036598452331,63,"[1, -1, -13, -23, -63]"
70,safe_loop,timeout,64,14,64,14,0,-53.18166897818446,-0.8309635777841322,-3.79869064129889,2.4981429386478133,63,"[1, 0, -14, 0, -63]"
71,prefix_sticky_wall,timeout,64,14,64,8,58,-52.59735697507858,-0.8218337027356029,-3.75695406964847,4.036627119241192,58,"[1, -1, -8, -58, -58]"
72,bfs,success,14,14,0,0,0,13.431888818740845,0.9594206299100604,0.9594206299100604,0.0,0,"[2, 0, 0, 0, 0]"
73,controlled_success,success,16,14,2,0,0,13.304969727993011,0.8315606079995632,0.9503549805709294,0.04,0,"[2, 0, -2, 0, 0]"
74,controlled_success,success,20,14,6,0,0,13.031235337257385,0.6515617668628693,0.9308025240898132,0.31277534741935165,4,"[2, 0, -6, 0, -4]"
75,random_avoid_goal,timeout,64,14,64,13,27,-58.79267281293869,-0.918635512702167,-4.199476629495621,4.224964336551511,63,"[1, -1, -13, -27, -63]"
76,safe_loop,timeout,64,14,64,14,0,-50.828448589891195,-0.7941945092170499,-3.630603470706514,2.4981429386478133,63,"[1, 0, -14, 0, -63]"
77,prefix_sticky_wall,timeout,64,14,64,10,56,-52.412478029727936,-0.818944969214499,-3.7437484306948527,4.16709220051847,56,"[1, -1, -10, -56, -56]"
78,bfs,success,14,14,0,0,0,12.067228615283966,0.8619449010917118,0.8619449010917118,0.0,0,"[2, 0, 0, 0, 0]"
79,controlled_success,success,24,14,10,0,0,8.013714376837015,0.3339047657015423,0.5724081697740725,0.43307733845019636,6,"[2, 0, -10, 0, -6]"
80,controlled_success,success,24,14,10,0,0,5.374322138726711,0.22393008911361298,0.38388015276619364,0.4631792925852747,8,"[2, 0, -10, 0, -8]"
81,random_avoid_goal,timeout,64,14,64,14,24,-56.72460575401783,-0.8863219649065286,-4.051757553858416,4.26924432832522,63,"[1, -1, -14, -24, -63]"
82,safe_loop,timeout,64,14,64,14,0,-52.52553237974644,-0.8207114434335381,-3.7518237414104596,2.4981429386478133,63,"[1, 0, -14, 0, -63]"
83,prefix_sticky_wall,timeout,64,14,64,8,58,-52.730955600738525,-0.8239211812615395,-3.7664968286241804,4.036627119241192,58,"[1, -1, -8, -58, -58]"
84,bfs,success,14,14,0,0,0,12.64820796251297,0.9034434258937836,0.9034434258937836,0.0,0,"[2, 0, 0, 0, 0]"
85,controlled_success,success,16,14,2,0,0,12.531428873538971,0.7832143045961857,0.8951020623956408,0.12302382310796892,1,"[2, 0, -2, 0, -1]"
86,controlled_success,success,48,14,34,0,0,-10.73035397566855,-0.22354904115976146,-0.7664538554048964,1.0555634076576155,22,"[2, 0, -34, 0, -22]"
87,random_avoid_goal,timeout,64,14,64,14,24,-54.54525013267994,-0.852269533323124,-3.896089295191424,4.26924432832522,63,"[1, -1, -14, -24, -63]"
88,safe_loop,timeout,64,14,64,14,0,-53.40228843688965,-0.8344107568264008,-3.8144491740635464,2.4981429386478133,63,"[1, 0, -14, 0, -63]"
89,prefix_sticky_wall,timeout,64,14,64,8,58,-52.48541307449341,-0.8200845792889595,-3.748958076749529,4.036627119241192,58,"[1, -1, -8, -58, -58]"
90,bfs,success,14,14,0,0,0,12.533441364765167,0.8952458117689405,0.8952458117689405,0.0,0,"[2, 0, 0, 0, 0]"
91,controlled_success,success,16,14,2,0,0,12.611821293830872,0.7882388308644295,0.9008443781307766,0.12302382310796892,1,"[2, 0, -2, 0, -1]"
92,controlled_success,success,48,14,34,0,0,-13.968843378126621,-0.2910175703776379,-0.9977745270090443,1.0951191155398448,31,"[2, 0, -34, 0, -31]"
93,random_avoid_goal,timeout,64,14,64,14,22,-59.6351677775383,-0.9317994965240359,-4.259654841252735,4.249269753963044,63,"[1, -1, -14, -22, -63]"
94,safe_loop,timeout,64,14,64,14,0,-53.36113227903843,-0.8337676918599755,-3.8115094485027448,2.4981429386478133,63,"[1, 0, -14, 0, -63]"
95,prefix_sticky_wall,timeout,64,14,64,8,58,-52.49288523197174,-0.8202013317495584,-3.749491802283696,4.036627119241192,58,"[1, -1, -8, -58, -58]"
96,bfs,success,18,18,0,0,0,13.630155980587006,0.7572308878103892,0.7572308878103892,0.0,0,"[2, 0, 0, 0, 0]"
97,controlled_success,success,20,18,2,0,0,13.583771049976349,0.6791885524988175,0.7546539472209083,0.17506790716220255,2,"[2, 0, -2, 0, -2]"
98,controlled_success,success,46,18,28,0,0,7.8773927837610245,0.1712476692121962,0.437632932431168,0.9893567677904571,23,"[2, 0, -28, 0, -23]"
99,random_avoid_goal,timeout,64,18,64,18,22,-58.26148542761803,-0.9103357098065317,-3.2367491904232235,4.249269753963044,63,"[1, -1, -18, -22, -63]"
100,safe_loop,timeout,64,18,64,18,0,-56.16533637791872,-0.87758338090498,-3.120296465439929,2.4981429386478133,63,"[1, 0, -18, 0, -63]"
101,prefix_sticky_wall,timeout,64,18,64,10,56,-48.2196626663208,-0.7534322291612625,-2.6788701481289334,4.008362041788311,56,"[1, -1, -10, -56, -56]"
102,bfs,success,14,14,0,0,0,13.49292927980423,0.9637806628431592,0.9637806628431592,0.0,0,"[2, 0, 0, 0, 0]"
103,controlled_success,success,18,14,4,0,0,12.21180772781372,0.6784337626563178,0.8722719805581229,0.24604764621593783,3,"[2, 0, -4, 0, -3]"
104,controlled_success,success,38,14,24,0,0,2.469741939101368,0.06499320892372022,0.17641013850724058,0.804364993711989,14,"[2, 0, -24, 0, -14]"
105,random_avoid_goal,timeout,64,14,64,13,27,-62.557314708828926,-0.977458042325452,-4.468379622059209,4.224964336551511,63,"[1, -1, -13, -27, -63]"
106,safe_loop,timeout,64,14,64,14,0,-54.18721479922533,-0.8466752312378958,-3.8705153428018093,2.4981429386478133,63,"[1, 0, -14, 0, -63]"
107,prefix_sticky_wall,timeout,64,14,64,8,58,-52.26952278614044,-0.8167112935334444,-3.7335373418671742,4.036627119241192,58,"[1, -1, -8, -58, -58]"
108,bfs,success,14,14,0,0,0,13.49671083688736,0.9640507740633828,0.9640507740633828,0.0,0,"[2, 0, 0, 0, 0]"
109,controlled_success,success,16,14,2,0,0,13.234992384910583,0.8271870240569115,0.9453565989221845,0.17158964629263734,2,"[2, 0, -2, 0, -2]"
110,controlled_success,success,42,14,28,0,0,-2.484492465853691,-0.05915458252032598,-0.17746374756097794,0.9246669847428337,20,"[2, 0, -28, 0, -20]"
111,random_avoid_goal,timeout,64,14,64,14,22,-55.49219445884228,-0.8670655384194106,-3.963728175631591,4.249269753963044,63,"[1, -1, -14, -22, -63]"
112,safe_loop,timeout,64,14,64,14,0,-48.937750595388934,-0.7646523530529521,-3.4955536139563526,2.4981429386478133,63,"[1, 0, -14, 0, -63]"
113,prefix_sticky_wall,timeout,64,14,64,9,57,-52.27228140830994,-0.8167543970048428,-3.7337343863078525,4.103960614613314,58,"[1, -1, -9, -57, -58]"
114,bfs,success,14,14,0,0,0,13.299971520900726,0.9499979657786233,0.9499979657786233,0.0,0,"[2, 0, 0, 0, 0]"
115,controlled_success,success,16,14,2,0,0,12.850955069065094,0.8031846918165684,0.9179253620760781,0.04,0,"[2, 0, -2, 0, 0]"
116,controlled_success,success,26,14,12,0,0,11.947997331619263,0.4595383589084332,0.8534283808299473,0.43277534741935164,4,"[2, 0, -12, 0, -4]"
117,random_avoid_goal,timeout,64,14,64,14,24,-57.45146669540554,-0.8976791671157116,-4.103676192528967,4.26924432832522,63,"[1, -1, -14, -24, -63]"
118,safe_loop,timeout,64,14,64,14,0,-55.42877246532589,-0.8660745697707171,-3.9591980332375636,2.4981429386478133,63,"[1, 0, -14, 0, -63]"
119,prefix_sticky_wall,timeout,64,14,64,7,57,-50.67242342233658,-0.791756615974009,-3.6194588158811842,3.959055933727946,57,"[1, -1, -7, -57, -57]"
120,bfs,success,14,14,0,0,0,12.427751183509827,0.8876965131078448,0.8876965131078448,0.0,0,"[2, 0, 0, 0, 0]"
121,controlled_success,success,14,14,0,0,0,12.33909821510315,0.8813641582216535,0.8813641582216535,0.0,0,"[2, 0, 0, 0, 0]"
122,controlled_success,success,48,14,34,0,0,-16.26814015954733,-0.33891958665723604,-1.1620100113962377,1.0606611156165442,23,"[2, 0, -34, 0, -23]"
