state_id,action,reward,category,hit_wall,repeat,success,d0,d1,delta_d
0,0,-1.0,wall_self_loop,True,True,False,14,14,0
0,1,-1.0,toward_goal,False,False,False,14,13,1
0,2,-1.0,wall_self_loop,True,True,False,14,14,0
0,3,0.9999647736549377,toward_goal,False,False,False,14,13,1
1,0,-1.0,wall_self_loop,True,True,False,7,7,0
1,1,-1.0,away_goal,False,False,False,7,8,-1
1,2,-1.0,visit2,False,True,False,7,8,-1
1,3,0.9997652769088745,toward_goal,False,False,False,7,6,1
2,0,-1.0,away_goal,False,False,False,1,2,-1
2,1,-1.0,wall_self_loop,True,True,False,1,1,0
2,2,-1.0,visit2,False,True,False,1,2,-1
2,3,0.9993212819099426,goal,False,False,True,1,0,1
3,0,-1.0,wall_self_loop,True,True,False,14,14,0
3,1,-1.0,toward_goal,False,False,False,14,13,1
3,2,-1.0,wall_self_loop,True,True,False,14,14,0
3,3,0.9999647736549377,toward_goal,False,False,False,14,13,1
4,0,-1.0,wall_self_loop,True,True,False,7,7,0
4,1,-1.0,away_goal,False,False,False,7,8,-1
4,2,-1.0,visit2,False,True,False,7,8,-1
4,3,0.9997652769088745,toward_goal,False,False,False,7,6,1
5,0,-1.0,away_goal,False,False,False,1,2,-1
5,1,-1.0,wall_self_loop,True,True,False,1,1,0
5,2,-1.0,visit2,False,True,False,1,2,-1
5,3,0.9993212819099426,goal,False,False,True,1,0,1
6,0,-1.0,wall_self_loop,True,True,False,14,14,0
6,1,-1.0,toward_goal,False,False,False,14,13,1
6,2,-1.0,wall_self_loop,True,True,False,14,14,0
6,3,0.9999647736549377,toward_goal,False,False,False,14,13,1
7,0,-1.0,visit2,False,True,False,8,9,-1
7,1,-1.0,away_goal,False,False,False,8,9,-1
7,2,-1.0,wall_self_loop,True,True,False,8,8,0
7,3,0.9993466734886169,toward_goal,False,False,False,8,7,1
8,0,-1.0,away_goal,False,False,False,1,2,-1
8,1,-1.0,wall_self_loop,True,True,False,1,1,0
8,2,-1.0,visit2,False,True,False,1,2,-1
8,3,0.8711216449737549,goal,False,False,True,1,0,1
9,0,-1.0,wall_self_loop,True,True,False,14,14,0
9,1,-1.0,toward_goal,False,False,False,14,13,1
9,2,-1.0,wall_self_loop,True,True,False,14,14,0
9,3,0.9999647736549377,toward_goal,False,False,False,14,13,1
10,0,-1.0,visit4plus,False,True,False,10,11,-1
10,1,-1.0,toward_goal,False,False,False,10,9,1
10,2,-1.0,wall_self_loop,True,True,False,10,10,0
10,3,-1.0,toward_goal,False,False,False,10,9,1
11,0,-1.0,away_goal,False,False,False,1,2,-1
11,1,-1.0,wall_self_loop,True,True,False,1,1,0
11,2,-1.0,visit2,False,True,False,1,2,-1
11,3,-0.8911968469619751,goal,False,False,True,1,0,1
12,0,-1.0,wall_self_loop,True,True,False,14,14,0
12,1,-1.0,toward_goal,False,False,False,14,13,1
12,2,-1.0,wall_self_loop,True,True,False,14,14,0
12,3,0.9999647736549377,toward_goal,False,False,False,14,13,1
13,0,-1.0,visit3,False,True,False,8,9,-1
13,1,-1.0,away_goal,False,False,False,8,9,-1
13,2,-1.0,wall_self_loop,True,True,False,8,8,0
13,3,0.9994047284126282,toward_goal,False,False,False,8,7,1
14,0,-1.0,away_goal,False,False,False,1,2,-1
14,1,-1.0,wall_self_loop,True,True,False,1,1,0
14,2,-1.0,visit2,False,True,False,1,2,-1
14,3,0.9635592699050903,goal,False,False,True,1,0,1
15,0,-1.0,wall_self_loop,True,True,False,14,14,0
15,1,-1.0,toward_goal,False,False,False,14,13,1
15,2,-1.0,wall_self_loop,True,True,False,14,14,0
15,3,0.9999647736549377,toward_goal,False,False,False,14,13,1
16,0,-1.0,visit2,False,True,False,8,9,-1
16,1,-1.0,away_goal,False,False,False,8,9,-1
16,2,-1.0,wall_self_loop,True,True,False,8,8,0
16,3,-1.0,toward_goal,False,False,False,8,7,1
17,0,-1.0,away_goal,False,False,False,1,2,-1
17,1,-1.0,wall_self_loop,True,True,False,1,1,0
17,2,-1.0,visit2,False,True,False,1,2,-1
17,3,-1.0,goal,False,False,True,1,0,1
18,0,-1.0,wall_self_loop,True,True,False,14,14,0
18,1,-1.0,toward_goal,False,False,False,14,13,1
18,2,-1.0,wall_self_loop,True,True,False,14,14,0
18,3,0.9999647736549377,toward_goal,False,False,False,14,13,1
19,0,-1.0,wall_self_loop,True,True,False,8,8,0
19,1,-1.0,visit3,False,True,False,8,7,1
19,2,-1.0,away_goal,False,False,False,8,9,-1
19,3,0.9537106156349182,visit2,False,True,False,8,9,-1
20,0,-1.0,visit4plus,False,True,False,5,6,-1
20,1,-1.0,visit4plus,False,True,False,5,4,1
20,2,-1.0,away_goal,False,False,False,5,6,-1
20,3,-1.0,visit4plus,False,True,False,5,4,1
21,0,-1.0,wall_self_loop,True,True,False,14,14,0
21,1,-1.0,toward_goal,False,False,False,14,13,1
21,2,-1.0,wall_self_loop,True,True,False,14,14,0
21,3,0.9999647736549377,toward_goal,False,False,False,14,13,1
22,0,-1.0,wall_self_loop,True,True,False,14,14,0
22,1,-1.0,visit4plus,False,True,False,14,13,1
22,2,-1.0,wall_self_loop,True,True,False,14,14,0
22,3,-1.0,visit4plus,False,True,False,14,13,1
23,0,-1.0,visit4plus,False,True,False,13,14,-1
23,1,-1.0,toward_goal,False,False,False,13,12,1
23,2,-1.0,wall_self_loop,True,True,False,13,13,0
23,3,-1.0,toward_goal,False,False,False,13,12,1
24,0,-1.0,wall_self_loop,True,True,False,14,14,0
24,1,-1.0,toward_goal,False,False,False,14,13,1
24,2,-1.0,wall_self_loop,True,True,False,14,14,0
24,3,0.9999647736549377,toward_goal,False,False,False,14,13,1
25,0,-1.0,wall_self_loop,True,True,False,14,14,0
25,1,-1.0,visit4plus,False,True,False,14,13,1
25,2,-1.0,wall_self_loop,True,True,False,14,14,0
25,3,-1.0,toward_goal,False,False,False,14,13,1
26,0,-1.0,visit4plus,False,True,False,13,14,-1
26,1,-1.0,toward_goal,False,False,False,13,12,1
26,2,-1.0,wall_self_loop,True,True,False,13,13,0
26,3,-1.0,toward_goal,False,False,False,13,12,1
27,0,-1.0,wall_self_loop,True,True,False,14,14,0
27,1,-1.0,toward_goal,False,False,False,14,13,1
27,2,-1.0,wall_self_loop,True,True,False,14,14,0
27,3,0.9999647736549377,toward_goal,False,False,False,14,13,1
28,0,-1.0,wall_self_loop,True,True,False,14,14,0
28,1,-1.0,visit4plus,False,True,False,14,13,1
28,2,-1.0,wall_self_loop,True,True,False,14,14,0
28,3,-1.0,visit4plus,False,True,False,14,13,1
29,0,-1.0,wall_self_loop,True,True,False,13,13,0
29,1,-1.0,toward_goal,False,False,False,13,12,1
29,2,-1.0,visit4plus,False,True,False,13,14,-1
29,3,-1.0,toward_goal,False,False,False,13,12,1
30,0,-1.0,wall_self_loop,True,True,False,14,14,0
30,1,-1.0,toward_goal,False,False,False,14,13,1
30,2,-1.0,wall_self_loop,True,True,False,14,14,0
30,3,0.9999647736549377,toward_goal,False,False,False,14,13,1
31,0,-1.0,wall_self_loop,True,True,False,7,7,0
31,1,-1.0,visit4plus,False,True,False,7,8,-1
31,2,-1.0,visit3,False,True,False,7,8,-1
31,3,-1.0,toward_goal,False,False,False,7,6,1
32,0,-1.0,visit2,False,True,False,12,13,-1
32,1,-1.0,visit4plus,False,True,False,12,11,1
32,2,-1.0,wall_self_loop,True,True,False,12,12,0
32,3,-1.0,visit4plus,False,True,False,12,11,1
33,0,-1.0,wall_self_loop,True,True,False,14,14,0
33,1,-1.0,toward_goal,False,False,False,14,13,1
33,2,-1.0,wall_self_loop,True,True,False,14,14,0
33,3,0.9999647736549377,toward_goal,False,False,False,14,13,1
34,0,-1.0,visit2,False,True,False,8,9,-1
34,1,-1.0,away_goal,False,False,False,8,9,-1
34,2,-1.0,wall_self_loop,True,True,False,8,8,0
34,3,-1.0,toward_goal,False,False,False,8,7,1
35,0,-1.0,visit2,False,True,False,8,9,-1
35,1,-1.0,away_goal,False,False,False,8,9,-1
35,2,-1.0,wall_self_loop,True,True,False,8,8,0
35,3,-1.0,toward_goal,False,False,False,8,7,1
36,0,-1.0,wall_self_loop,True,True,False,14,14,0
36,1,-1.0,toward_goal,False,False,False,14,13,1
36,2,-1.0,wall_self_loop,True,True,False,14,14,0
36,3,0.9999633431434631,toward_goal,False,False,False,14,13,1
37,0,-1.0,visit2,False,True,False,7,8,-1
37,1,-1.0,toward_goal,False,False,False,7,6,1
37,2,-1.0,away_goal,False,False,False,7,8,-1
37,3,0.9962536692619324,toward_goal,False,False,False,7,6,1
38,0,-1.0,away_goal,False,False,False,1,2,-1
38,1,-1.0,wall_self_loop,True,True,False,1,1,0
38,2,-1.0,visit2,False,True,False,1,2,-1
38,3,0.9987109899520874,goal,False,False,True,1,0,1
39,0,-1.0,wall_self_loop,True,True,False,14,14,0
39,1,-1.0,toward_goal,False,False,False,14,13,1
39,2,-1.0,wall_self_loop,True,True,False,14,14,0
39,3,0.9999633431434631,toward_goal,False,False,False,14,13,1
