action,bfs_agree,bfs_best_actions,difficulty,goal,hit_wall,maze_id,new_bfs_distance,next_pos,old_bfs_distance,pos,progress_type,q_down,q_left,q_rank,q_right,q_up,reward,shortest_len,source,start,step,valid_actions
LEFT,True,"['UP', 'LEFT']",easy,"(0, 4)",False,manual_easy_0,7,"(6, 5)",8,"(6, 6)",progress,66.06316375732422,68.56291961669922,"[('LEFT', 68.56291961669922), ('UP', 68.20051574707031), ('RIGHT', 67.38890075683594), ('DOWN', 66.06316375732422)]",67.38890075683594,68.20051574707031,-0.01,8,manual,"(6, 6)",0,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
UP,True,"['UP', 'LEFT']",easy,"(0, 4)",False,manual_easy_0,6,"(5, 5)",7,"(6, 5)",progress,66.90341186523438,68.53495788574219,"[('UP', 69.53216552734375), ('LEFT', 68.53495788574219), ('RIGHT', 67.81539916992188), ('DOWN', 66.90341186523438)]",67.81539916992188,69.53216552734375,-0.01,8,manual,"(6, 6)",1,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
UP,True,"['UP', 'LEFT']",easy,"(0, 4)",False,manual_easy_0,5,"(4, 5)",6,"(5, 5)",progress,66.93201446533203,69.5130386352539,"[('UP', 69.77181243896484), ('LEFT', 69.5130386352539), ('RIGHT', 67.354736328125), ('DOWN', 66.93201446533203)]",67.354736328125,69.77181243896484,-0.01,8,manual,"(6, 6)",2,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
LEFT,True,"['UP', 'LEFT']",easy,"(0, 4)",False,manual_easy_0,4,"(4, 4)",5,"(4, 5)",progress,68.42292785644531,70.71463775634766,"[('LEFT', 70.71463775634766), ('UP', 70.4688949584961), ('RIGHT', 69.21780395507812), ('DOWN', 68.42292785644531)]",69.21780395507812,70.4688949584961,-0.01,8,manual,"(6, 6)",3,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
LEFT,False,['UP'],easy,"(0, 4)",False,manual_easy_0,5,"(4, 3)",4,"(4, 4)",regress,69.08486938476562,70.66092681884766,"[('LEFT', 70.66092681884766), ('RIGHT', 69.44249725341797), ('UP', 69.09575653076172), ('DOWN', 69.08486938476562)]",69.44249725341797,69.09575653076172,-0.01,8,manual,"(6, 6)",4,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
UP,True,"['UP', 'RIGHT']",easy,"(0, 4)",False,manual_easy_0,4,"(3, 3)",5,"(4, 3)",progress,69.7425537109375,70.25138092041016,"[('UP', 70.5310287475586), ('LEFT', 70.25138092041016), ('RIGHT', 70.18391418457031), ('DOWN', 69.7425537109375)]",70.18391418457031,70.5310287475586,-0.01,8,manual,"(6, 6)",5,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
LEFT,False,"['UP', 'RIGHT']",easy,"(0, 4)",False,manual_easy_0,5,"(3, 2)",4,"(3, 3)",regress,70.90685272216797,71.6277084350586,"[('LEFT', 71.6277084350586), ('UP', 71.5875244140625), ('RIGHT', 71.48873901367188), ('DOWN', 70.90685272216797)]",71.48873901367188,71.5875244140625,-0.01,8,manual,"(6, 6)",6,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
UP,True,"['UP', 'RIGHT']",easy,"(0, 4)",False,manual_easy_0,4,"(2, 2)",5,"(3, 2)",progress,69.89247131347656,70.67398834228516,"[('UP', 72.2114028930664), ('RIGHT', 72.12155151367188), ('LEFT', 70.67398834228516), ('DOWN', 69.89247131347656)]",72.12155151367188,72.2114028930664,-0.01,8,manual,"(6, 6)",7,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
RIGHT,True,"['UP', 'RIGHT']",easy,"(0, 4)",False,manual_easy_0,3,"(2, 3)",4,"(2, 2)",progress,70.9622802734375,71.02915954589844,"[('RIGHT', 72.70201873779297), ('LEFT', 71.02915954589844), ('DOWN', 70.9622802734375), ('UP', 70.54949951171875)]",72.70201873779297,70.54949951171875,-0.01,8,manual,"(6, 6)",8,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
LEFT,False,"['UP', 'RIGHT']",easy,"(0, 4)",False,manual_easy_0,4,"(2, 2)",3,"(2, 3)",regress,72.29894256591797,74.69393920898438,"[('LEFT', 74.69393920898438), ('DOWN', 72.29894256591797), ('UP', 72.24068450927734), ('RIGHT', 71.94772338867188)]",71.94772338867188,72.24068450927734,-0.01,8,manual,"(6, 6)",9,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
RIGHT,True,"['UP', 'RIGHT']",easy,"(0, 4)",False,manual_easy_0,3,"(2, 3)",4,"(2, 2)",progress,70.9622802734375,71.02915954589844,"[('RIGHT', 72.70201873779297), ('LEFT', 71.02915954589844), ('DOWN', 70.9622802734375), ('UP', 70.54949951171875)]",72.70201873779297,70.54949951171875,-0.01,8,manual,"(6, 6)",10,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
LEFT,False,"['UP', 'RIGHT']",easy,"(0, 4)",False,manual_easy_0,4,"(2, 2)",3,"(2, 3)",regress,72.29894256591797,74.69393920898438,"[('LEFT', 74.69393920898438), ('DOWN', 72.29894256591797), ('UP', 72.24068450927734), ('RIGHT', 71.94772338867188)]",71.94772338867188,72.24068450927734,-0.01,8,manual,"(6, 6)",11,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
RIGHT,True,"['UP', 'RIGHT']",easy,"(0, 4)",False,manual_easy_0,3,"(2, 3)",4,"(2, 2)",progress,70.9622802734375,71.02915954589844,"[('RIGHT', 72.70201873779297), ('LEFT', 71.02915954589844), ('DOWN', 70.9622802734375), ('UP', 70.54949951171875)]",72.70201873779297,70.54949951171875,-0.01,8,manual,"(6, 6)",12,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
LEFT,False,"['UP', 'RIGHT']",easy,"(0, 4)",False,manual_easy_0,4,"(2, 2)",3,"(2, 3)",regress,72.29894256591797,74.69393920898438,"[('LEFT', 74.69393920898438), ('DOWN', 72.29894256591797), ('UP', 72.24068450927734), ('RIGHT', 71.94772338867188)]",71.94772338867188,72.24068450927734,-0.01,8,manual,"(6, 6)",13,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
RIGHT,True,"['UP', 'RIGHT']",easy,"(0, 4)",False,manual_easy_0,3,"(2, 3)",4,"(2, 2)",progress,70.9622802734375,71.02915954589844,"[('RIGHT', 72.70201873779297), ('LEFT', 71.02915954589844), ('DOWN', 70.9622802734375), ('UP', 70.54949951171875)]",72.70201873779297,70.54949951171875,-0.01,8,manual,"(6, 6)",14,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
LEFT,False,"['UP', 'RIGHT']",easy,"(0, 4)",False,manual_easy_0,4,"(2, 2)",3,"(2, 3)",regress,72.29894256591797,74.69393920898438,"[('LEFT', 74.69393920898438), ('DOWN', 72.29894256591797), ('UP', 72.24068450927734), ('RIGHT', 71.94772338867188)]",71.94772338867188,72.24068450927734,-0.01,8,manual,"(6, 6)",15,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
RIGHT,True,"['UP', 'RIGHT']",easy,"(0, 4)",False,manual_easy_0,3,"(2, 3)",4,"(2, 2)",progress,70.9622802734375,71.02915954589844,"[('RIGHT', 72.70201873779297), ('LEFT', 71.02915954589844), ('DOWN', 70.9622802734375), ('UP', 70.54949951171875)]",72.70201873779297,70.54949951171875,-0.01,8,manual,"(6, 6)",16,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
LEFT,False,"['UP', 'RIGHT']",easy,"(0, 4)",False,manual_easy_0,4,"(2, 2)",3,"(2, 3)",regress,72.29894256591797,74.69393920898438,"[('LEFT', 74.69393920898438), ('DOWN', 72.29894256591797), ('UP', 72.24068450927734), ('RIGHT', 71.94772338867188)]",71.94772338867188,72.24068450927734,-0.01,8,manual,"(6, 6)",17,"['UP', 'DOWN', 'LEFT', 'RIGHT']"
